cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
102,153,0,192,0,887,942,3,4.57
102,153,0,192,0,887,942,90,25.46
102,153,0,192,0,887,942,7,7.68
102,153,0,192,0,887,942,28,17.28
108.3,162.4,0,203.5,0,938.2,849,28,20.59
108.3,162.4,0,203.5,0,938.2,849,90,29.23
108.3,162.4,0,203.5,0,938.2,849,3,2.33
108.3,162.4,0,203.5,0,938.2,849,7,7.72
116,173,0,192,0,909.8,891.9,90,31.02
116,173,0,192,0,909.8,891.9,28,22.35
116,173,0,192,0,909.8,891.9,3,6.28
116,173,0,192,0,909.8,891.9,7,10.09
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
132,207,161,179,5,867,736,28,33.3
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
133,200,0,192,0,927.4,839.2,28,27.87
133,200,0,192,0,927.4,839.2,90,36.59
133,200,0,192,0,927.4,839.2,7,13.66
133,200,0,192,0,927.4,839.2,3,6.88
133,210,0,196,3,949,795,28,31.03
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
139.6,209.4,0,192,0,1047,806.9,90,39.36
139.6,209.4,0,192,0,1047,806.9,28,28.24
139.6,209.4,0,192,0,1047,806.9,3,8.06
139.6,209.4,0,192,0,1047,806.9,180,44.21
139.6,209.4,0,192,0,1047,806.9,7,14.59
139.6,209.4,0,192,0,1047,806.9,360,44.7
136,162,126,172,10,923,764,28,29.07
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
134.7,0,165.7,180.2,10,961,804.9,28,13.29
135,0,166,180,10,961,805,28,13.29
136,196,98,199,6,847,783,28,26.97
135,105,193,196,6,965,643,28,21.91
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
142,167,130,174,11,883,785,28,44.61
141.3,212,0,203.5,0,971.8,748.5,28,29.89
141.3,212,0,203.5,0,971.8,748.5,7,10.39
141.3,212,0,203.5,0,971.8,748.5,90,39.66
141.3,212,0,203.5,0,971.8,748.5,3,4.83
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
140,133,103,200,7,916,753,28,36.44
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
144,136,106,178,7,941,774,28,26.14
144,0,175,158,18,943,844,28,15.42
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
143,169,143,191,8,967,643,28,29.72
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
146,173,0,182,3,986,817,28,23.74
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
145,116,119,184,5.7,833,880,28,29.16
144,170,133,192,8,814,805,28,29.87
144,15,195,176,6,1021,709,28,15.34
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
140,164,128,237,6,869,656,28,35.23
148,175,0,171,2,1000,828,28,26.92
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
146,230,0,202,3,827,872,28,33.06
145,0,134,181,11,979,812,28,13.2
149,236,0,176,13,847,893,28,32.96
148,0,137,158,16,1002,830,28,17.95
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
