cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
261,100,78,201,9,864,761,28,32.4
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
266,112,87,178,10,910,745,28,39.42
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
265,111,86,195,6,833,790,28,41.54
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
275,0,0,183,0,1088,808,7,14.2
275,0,0,183,0,1088,808,28,24.5
275,180,120,162,10.4,830,765,28,76.24
276,116,90,180,9,870,768,28,44.28
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28
281,0,0,186,0,1104,774,7,14.5
281,0,0,186,0,1104,774,28,22.44
281,0,0,185,0,1104,774,28,22.44
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
266,114,0,228,0,932,670,90,47.03
266,114,0,228,0,932,670,28,45.85
266,114,0,228,0,932,670,365,52.91
266,114,0,228,0,932,670,270,51.73
266,114,0,228,0,932,670,180,48.7
273,0,90,199,11,931,762,28,32.24
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
273,105,82,210,9,904,680,28,37.17
285,190,0,163,7.6,1031,685,28,53.58
280,129,100,172,9,825,805,28,52.82
277,117,91,191,7,946,666,28,43.57
277,116.8,91,190.6,7,946.5,665.6,28,43.58
277,0,0,191,0,968,856,14,21.26
277,0,0,191,0,968,856,28,25.97
277,0,0,191,0,968,856,3,11.36
277,0,0,191,0,968,856,90,31.25
277,0,0,191,0,968,856,180,32.33
277,0,0,191,0,968,856,360,33.7
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
284,120,0,168,7,970,794,28,40.93
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
288,121,0,177,7,908,829,28,42.13
288.4,121,0,177.4,7,907.9,829.5,28,42.14
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
288,192,0,192,0,932,717.8,3,16.11
288,192,0,192,0,932,717.8,28,38.8
288,192,0,192,0,932,717.8,7,23.52
288,192,0,192,0,932,717.8,90,50.53
287,121,94,188,9,904,696,28,41.94
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
289,134,0,195,6,924,760,28,46.24
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
